"State","State_Code","Urban_Rural","sex","Age_Group","disabl_count","disability","pop_count","pop_disabl_perc","age_high","iso_code","state_ut"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","80-89",17,"Move",646,0.0263157894736842,89,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","80-89",3,"MenRet",646,0.00464396284829721,89,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","80-89",19,"Hear",646,0.0294117647058824,89,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","80-89",17,"Mult",646,0.0263157894736842,89,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","90+",1,"Speech",172,0.00581395348837209,100,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","90+",3,"Sight",172,0.0174418604651163,100,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","90+",13,"Mult",172,0.0755813953488372,100,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","90+",38,"TotDisab",172,0.22093023255814,100,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","90+",0,"Other",172,0,100,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","90+",0,"MenIll",172,0,100,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","90+",8,"Move",172,0.0465116279069767,100,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","90+",2,"MenRet",172,0.0116279069767442,100,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","90+",11,"Hear",172,0.063953488372093,100,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","Age Not Stated",0,"Speech",126,0,100,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","Age Not Stated",0,"Sight",126,0,100,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","Age Not Stated",1,"TotDisab",126,0.00793650793650794,100,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","Age Not Stated",0,"Other",126,0,100,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","Age Not Stated",0,"MenRet",126,0,100,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","Age Not Stated",0,"MenIll",126,0,100,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","Age Not Stated",1,"Move",126,0.00793650793650794,100,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","Age Not Stated",0,"Mult",126,0,100,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","F","Age Not Stated",0,"Hear",126,0,100,"IN-AN","Union territory"
